Product ID,Product Name,Category,Sub-Category,Price Per Unit
TEC-SAN-10003793,"SanDisk Memory Card, Erganomic",Technology,Accessories,86.82
OFF-BI-10004506,Wilson Jones data.warehouse D-Ring Binders with DublLock,Office Supplies,Binders,3.27
OFF-CAR-10000687,"Cardinal Binder Covers, Economy",Office Supplies,Binders,10.33
OFF-IBI-10004074,"Ibico 3-Hole Punch, Clear",Office Supplies,Binders,16.6
OFF-PA-10000048,"Xerox Memo Slips, Multicolor",Office Supplies,Paper,14.17
OFF-AVE-10004708,"Avery Binder, Recycled",Office Supplies,Binders,5.91
OFF-AVE-10004570,"Avery Binder Covers, Economy",Office Supplies,Binders,7.21
OFF-ADV-10004598,"Advantus Paper Clips, Metal",Office Supplies,Fasteners,9.06
OFF-AVE-10003504,"Avery Legal Exhibit Labels, 5000 Label Set",Office Supplies,Labels,5.28
TEC-ENE-10000895,"Enermax Mouse, Bluetooth",Technology,Accessories,35.09
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,3.63
OFF-HAR-10001855,"Harbour Creations Round Labels, Alphabetical",Office Supplies,Labels,3.55
OFF-STA-10002719,"Stanley Pencil Sharpener, Easy-Erase",Office Supplies,Art,16.98
OFF-FA-10000992,"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",Office Supplies,Fasteners,1.6
OFF-FEL-10000998,"Fellowes Box, Single Width",Office Supplies,Storage,18.42
OFF-CAR-10002054,"Cardinal Hole Reinforcements, Economy",Office Supplies,Binders,3.63
OFF-ST-10003295,"Tenex Lockers, Blue",Office Supplies,Storage,123.31
TEC-MA-10004669,"Epson Inkjet, Wireless",Technology,Machines,236.71
OFF-ST-10004837,"Eldon File Cart, Single Width",Office Supplies,Storage,103.22
TEC-PH-10002042,"Cisco Audio Dock, Full Size",Technology,Phones,138.71
OFF-PA-10004294,"Xerox Computer Printout Paper, 8.5 x 11",Office Supplies,Paper,14.95
FUR-CH-10000974,"Harbour Creations Executive Leather Armchair, Black",Furniture,Chairs,288.57
OFF-ST-10002263,"Rogers Trays, Wire Frame",Office Supplies,Storage,20.53
TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Technology,Accessories,89.43
TEC-APP-10002321,"Apple Signal Booster, Full Size",Technology,Phones,113.64
FUR-BO-10004082,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,163.18
FUR-CH-10004095,"SAFCO Executive Leather Armchair, Adjustable",Furniture,Chairs,176.49
FUR-FU-10001098,"Deflect-O Door Stop, Black",Furniture,Furnishings,25.35
OFF-AP-10001049,"Breville Coffee Grinder, Silver",Office Supplies,Appliances,24.55
OFF-ST-10003056,"Tenex Folders, Single Width",Office Supplies,Storage,12.63
OFF-PA-10004100,Xerox 216,Office Supplies,Paper,1.75
OFF-BI-10002894,"Avery Binding Machine, Durable",Office Supplies,Binders,43.58
OFF-SU-10002962,"Acme Scissors, Serrated",Office Supplies,Supplies,13.07
OFF-SU-10001308,"Fiskars Trimmer, Serrated",Office Supplies,Supplies,31.49
OFF-BI-10004028,"Ibico Index Tab, Durable",Office Supplies,Binders,4.5
OFF-AR-10000659,"BIC Pencil Sharpener, Fluorescent",Office Supplies,Art,18.73
OFF-ROG-10000332,"Rogers Box, Single Width",Office Supplies,Storage,18.61
OFF-BI-10004716,Wilson Jones Hanging Recycled Pressboard Data Binders,Office Supplies,Binders,6.63
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,12.17
OFF-AR-10000493,"Boston Pencil Sharpener, Fluorescent",Office Supplies,Art,14.1
OFF-LA-10004709,"Avery Round Labels, Laser Printer Compatible",Office Supplies,Labels,4.95
OFF-HON-10001132,"Hon Round Labels, Adjustable",Office Supplies,Labels,2.69
OFF-BI-10002949,Prestige Round Ring Binders,Office Supplies,Binders,3.26
TEC-SAN-10003238,"SanDisk Router, Erganomic",Technology,Accessories,129.26
TEC-CO-10001177,"HP Fax and Copier, Color",Technology,Copiers,85.24
OFF-IBI-10000959,"Ibico Binding Machine, Recycled",Office Supplies,Binders,35.46
OFF-ELD-10000967,"Eldon Folders, Industrial",Office Supplies,Storage,14.76
OFF-CUI-10004536,"Cuisinart Blender, Black",Office Supplies,Appliances,59.91
OFF-EN-10003898,"Ames Peel and Seal, Set of 50",Office Supplies,Envelopes,11.86
OFF-FA-10003034,"OIC Rubber Bands, 12 Pack",Office Supplies,Fasteners,8.1
OFF-IBI-10001951,"Ibico Hole Reinforcements, Clear",Office Supplies,Binders,2.99
OFF-IBI-10002486,"Ibico Index Tab, Clear",Office Supplies,Binders,6.33
OFF-FA-10000254,Sterling Rubber Bands by Alliance,Office Supplies,Fasteners,4.08
TEC-PH-10001795,ClearOne CHATAttach 160 - speaker phone,Technology,Phones,375.26
TEC-AC-10002914,"Memorex Router, Programmable",Technology,Accessories,117.88
TEC-CO-10000013,"Brother Fax Machine, Laser",Technology,Copiers,159.05
TEC-ENE-10000154,"Enermax Router, Bluetooth",Technology,Accessories,216.34
OFF-ST-10004576,"Rogers File Cart, Single Width",Office Supplies,Storage,95.45
TEC-CAN-10003392,"Canon Copy Machine, Color",Technology,Copiers,156.56
OFF-ST-10000624,"Eldon File Cart, Single Width",Office Supplies,Storage,66.87
TEC-PH-10004434,Cisco IP Phone 7961G VoIP phone - Dark gray,Technology,Phones,90.24
OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",Office Supplies,Storage,96.8
FUR-BO-10001781,"Bush Library with Doors, Traditional",Furniture,Bookcases,152.88
OFF-BI-10001032,"Avery Binding Machine, Recycled",Office Supplies,Binders,26.33
FUR-BO-10000022,"Dania Floating Shelf Set, Traditional",Furniture,Bookcases,141.35
OFF-ST-10002159,"Fellowes Lockers, Wire Frame",Office Supplies,Storage,103.42
OFF-SU-10002388,"Elite Shears, Easy Grip",Office Supplies,Supplies,33.09
OFF-ST-10003964,"Fellowes Lockers, Industrial",Office Supplies,Storage,173.7
TEC-CO-10000043,"Brother Fax Machine, Laser",Technology,Copiers,169.51
TEC-STA-10000546,"StarTech Calculator, Red",Technology,Machines,25.37
TEC-CO-10003124,"Canon Ink, Laser",Technology,Copiers,69.53
OFF-AP-10002882,"KitchenAid Coffee Grinder, Silver",Office Supplies,Appliances,34.42
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,116.46
OFF-EN-10002140,"Jiffy Business Envelopes, Recycled",Office Supplies,Envelopes,9.42
TEC-OKI-10001062,"Okidata Printer, White",Technology,Machines,238.01
FUR-CH-10001477,"Novimex Chairmat, Black",Furniture,Chairs,27.01
OFF-ST-10004695,"Fellowes File Cart, Blue",Office Supplies,Storage,78.8
OFF-ST-10004020,"Tenex Lockers, Single Width",Office Supplies,Storage,181.1
OFF-BI-10001744,"Acco Binding Machine, Economy",Office Supplies,Binders,42.11
OFF-SME-10003752,"Smead File Cart, Single Width",Office Supplies,Storage,111.3
FUR-CH-10004572,"Harbour Creations Bag Chairs, Red",Furniture,Chairs,30.63
OFF-SU-10003803,"Acme Trimmer, Steel",Office Supplies,Supplies,36.28
OFF-SU-10001578,"Stiletto Shears, High Speed",Office Supplies,Supplies,39.79
OFF-AR-10000184,"Boston Pencil Sharpener, Water Color",Office Supplies,Art,13.71
OFF-ST-10003547,"Smead Shelving, Blue",Office Supplies,Storage,21.85
OFF-ST-10004739,"Rogers Folders, Industrial",Office Supplies,Storage,23.99
OFF-PA-10003359,"Eaton Cards & Envelopes, 8.5 x 11",Office Supplies,Paper,33.9
OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,22.2
TEC-AC-10001226,"Enermax Mouse, Programmable",Technology,Accessories,38.71
TEC-SAM-10001017,"Samsung Speaker Phone, Cordless",Technology,Phones,96.86
OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage,20.92
FUR-CH-10003697,"Novimex Chairmat, Adjustable",Furniture,Chairs,32.41
FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furniture,Furnishings,22.57
OFF-EN-10000657,"Jiffy Peel and Seal, with clear poly window",Office Supplies,Envelopes,12.43
OFF-PA-10002382,"Eaton Note Cards, Premium",Office Supplies,Paper,13.04
OFF-ST-10001818,"Smead Trays, Blue",Office Supplies,Storage,39.1
TEC-EPS-10001323,"Epson Calculator, Wireless",Technology,Machines,17.14
TEC-MA-10004064,"Panasonic Calculator, Red",Technology,Machines,28.78
OFF-BI-10004220,"Cardinal 3-Hole Punch, Recycled",Office Supplies,Binders,19.24
OFF-BI-10000323,"Wilson Jones 3-Hole Punch, Clear",Office Supplies,Binders,18.94
OFF-STA-10004163,"Stanley Markers, Fluorescent",Office Supplies,Art,13.82
OFF-ST-10000423,"Rogers Trays, Blue",Office Supplies,Storage,34.82
OFF-LA-10001771,Avery 513,Office Supplies,Labels,2.39
TEC-PH-10000673,Plantronics Voyager Pro HD - Bluetooth Headset,Technology,Phones,32.61
TEC-ENE-10004728,"Enermax Keyboard, Erganomic",Technology,Accessories,37.69
OFF-SU-10003651,"Elite Ruler, Serrated",Office Supplies,Supplies,7.85
OFF-AVE-10004556,"Avery Hole Reinforcements, Recycled",Office Supplies,Binders,2.19
OFF-PA-10000806,Xerox 1934,Office Supplies,Paper,27.61
OFF-LA-10002401,"Avery Shipping Labels, Laser Printer Compatible",Office Supplies,Labels,3.78
OFF-LA-10003498,Avery 475,Office Supplies,Labels,6.48
OFF-LA-10000116,"Harbour Creations File Folder Labels, Adjustable",Office Supplies,Labels,1.19
OFF-AR-10001897,Model L Table or Wall-Mount Pencil Sharpener,Office Supplies,Art,12.31
OFF-BIN-10004569,"Binney & Smith Highlighters, Blue",Office Supplies,Art,13.15
OFF-AVE-10002892,"Avery 3-Hole Punch, Recycled",Office Supplies,Binders,26.29
FUR-FU-10003142,"Master Big Foot Doorstop, Beige",Furniture,Furnishings,3.33
OFF-PA-10000533,Southworth Parchment Paper & Envelopes,Office Supplies,Paper,2.99
OFF-SAN-10002441,"Sanford Highlighters, Blue",Office Supplies,Art,12.4
OFF-BI-10001658,GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,13.18
OFF-FA-10003496,"Stockwell Push Pins, Assorted Sizes",Office Supplies,Fasteners,6.36
OFF-CAR-10002942,"Cardinal 3-Hole Punch, Recycled",Office Supplies,Binders,20.08
OFF-AR-10000634,Newell 320,Office Supplies,Art,2.79
OFF-PA-10004947,Staples,Office Supplies,Paper,2.17
OFF-AR-10001919,"OIC #2 Pencils, Medium Soft",Office Supplies,Art,1.08
OFF-SME-10000335,"Smead Box, Wire Frame",Office Supplies,Storage,8.25
OFF-FA-10003021,Staples,Office Supplies,Fasteners,1.2
OFF-BI-10000494,Acco Economy Flexible Poly Round Ring Binder,Office Supplies,Binders,3.17
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,205.85
TEC-AC-10001258,"Belkin Router, Erganomic",Technology,Accessories,113.9
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs,138.13
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,190.1
FUR-TA-10000649,"Bevis Computer Table, Adjustable Height",Furniture,Tables,357.28
TEC-CO-10004042,"Brother Wireless Fax, Laser",Technology,Copiers,222.58
OFF-BI-10002172,"Acco Binding Machine, Recycled",Office Supplies,Binders,28.72
TEC-CO-10001571,Sharp 1540cs Digital Laser Copier,Technology,Copiers,245.05
FUR-FU-10000666,"Rubbermaid Frame, Black",Furniture,Furnishings,62.1
FUR-BO-10004565,"Sauder Corner Shelving, Traditional",Furniture,Bookcases,66.63
OFF-ST-10001222,"Eldon Shelving, Single Width",Office Supplies,Storage,45.16
OFF-ST-10000632,"Rogers Shelving, Single Width",Office Supplies,Storage,49.46
TEC-CO-10002788,"Hewlett Personal Copier, Digital",Technology,Copiers,68.87
OFF-EN-10002789,"Kraft Peel and Seal, Recycled",Office Supplies,Envelopes,16.64
FUR-CH-10004049,"SAFCO Bag Chairs, Set of Two",Furniture,Chairs,25.07
FUR-BO-10002679,"Ikea Stackable Bookrack, Mobile",Furniture,Bookcases,54.96
FUR-FU-10004339,"Deflect-O Frame, Black",Furniture,Furnishings,52.41
OFF-LA-10003141,"Hon Shipping Labels, Laser Printer Compatible",Office Supplies,Labels,4.47
OFF-AR-10000475,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",Office Supplies,Art,6.29
